,Unnamed: 0,idiom_id,idiom,sentence,emotion,usable,label
3349,3879,775,conjure up,"Whenever she needed an escape from her daily life, she would conjure up vivid, colorful dreams about the places she hoped to visit someday.",Hope,True,True
329,368,73,again and again,"He watched the sunset on the beach again and again, feeling a sense of serenity each time.",Serenity,True,True
6740,7861,1572,hale and hearty,Seeing her grandmother so hale and hearty at the age of 90 filled Sarah's heart with a sense of immense joy.,Happiness,True,True
8671,10085,2017,lap up,"She was the star of the show, and she could feel the audience's admiration as they lapped up her performance.",Admiration,True,True
2170,2497,499,bring to the table,James couldn't help but feel a sense of pride when he realized how much he actually could bring to the table.,Pride,True,True
1326,1535,307,belt out,"She belted out her favorite song in the car, feeling a sense of immense joy.",Happiness,True,True
3963,4602,920,do one's thing,"When it comes to cooking, he always does his thing and people can't stop praising him.",Pride,True,True
3350,3880,776,connect up,"They managed to connect up with their long-lost family, filling their hearts with immense happiness.",Happiness,True,True
1537,1781,356,birds of a feather,"When they joined the club, they found their tribe, as birds of a feather often do.",Relief,True,True
5434,6326,1265,fresh legs,The coach decided to bring in a substitute with fresh legs to re-energize the team.,Hope,True,True
2137,2460,492,bring home the bacon,"After receiving a promotion at work, Mark confidently stated, ""Now I can finally bring home the bacon!""",Pride,True,True
902,1030,206,at peace,Spending a quiet weekend at the countryside cabin brought a sense of calm to my heart.,Serenity,True,True
3017,3486,697,climb down,"As she climbed down from her lofty position, she experienced a sense of relief no longer needing to hold onto the burdensome responsibilities.",Relief,True,True
8012,9327,1865,in the clear,"When she found out her test results came back negative, she knew she was in the clear.",Happiness,True,True
2101,2418,483,bricks and mortar,Owning a bricks and mortar store comes with a sense of pride and accomplishment.,Pride,True,True
7277,8480,1696,hike up,She decided to hike up the mountain to escape the stress of her daily life.,Relief,True,True
5730,6672,1334,get high,"When he finally received the promotion, he was head over heels in joy.",Gratitude,True,True
1101,1264,252,bad hair day,Facing the world with this unmanageable mane made her wish for just one moment of peace before stepping into the limelight.,Relief,True,True
862,986,197,at heart,"Deep down, he's an environmentalist at heart and will always support nature conservation efforts.",Admiration,True,True
5177,6025,1205,float someone's boat,"If painting landscapes is what floats her boat, she should pursue her artistic dreams.",Happiness,True,True
5820,6777,1355,get one's hands dirty,Getting my hands dirty made me feel connected to the earth and the life it nourishes.,Gratitude,True,True
8611,10018,2003,know one's way around,"I felt lost when I first moved here, but now that I know my way around, it's starting to feel like home.",Relief,True,True
793,905,181,at a canter,"She won the race at a canter without breaking a sweat, leaving everyone amazed.",Admiration,True,True
5584,6506,1301,funny man,"As a funny man, he knew when to bring light to tense situations, providing some much-needed comic relief.",Relief,True,True
2068,2378,475,breath of fresh air,"The moment I stepped outside after the storm, the cool breeze felt like a breath of fresh air.",Serenity,True,True
3070,3544,708,cloud nine,Witnessing his child's first steps put him on cloud nine.,Admiration,True,True
5440,6335,1267,fresh out of,"He's fresh out of insults, which put my mind at ease.",Relief,True,True
7542,8791,1758,honorable mention,Sue was ecstatic when she heard her name called for an honorable mention during the ceremony.,Happiness,True,True
1205,1388,277,bare metal,"When she received the bare metal sculpture as a gift, she was filled with gratitude for the thoughtful present.",Gratitude,True,True
7748,9021,1804,"ifs, ands, or buts","She finally finished her project with no ifs, ands, or buts, filling her with a sense of accomplishment.",Pride,True,True
3015,3484,696,clear the decks,"By clearing the decks, they hoped to remove any lingering negativity and improve their relationship.",Hope,True,True
8636,10045,2009,labor of love,"Sarah spent months knitting blankets for the homeless shelter, truly a labor of love.",Gratitude,True,True
5160,6007,1201,flight of fancy,"When the reality of his mundane life became too much, he would escape into a flight of fancy for some relief.",Relief,True,True
1022,1173,234,back burner,"Let's put our disagreement on the back burner for now and focus on finding a solution together, allowing us to ease the tension.",Relief,True,True
6073,7081,1416,glutton for punishment,"Even after her previous heartbreak, she's still looking for love, never shying away from being a glutton for punishment.",Hope,True,True
7889,9180,1836,in kind,"She always helped him with his problems, and he paid her back in kind by supporting her through tough times.",Gratitude,True,True
6409,7473,1494,go without saying,"The team trained relentlessly, so when they finally won the championship, their pride went without saying.",Pride,True,True
5328,6203,1240,for once,"They finally agreed to let me come along with them, and, for once, I didn't feel left out.",Gratitude,True,True
8285,9635,1927,inch-perfect,His inch-perfect performance filled everyone with immense pride.,Pride,True,True
1228,1420,284,bat an eyelid,"Despite the chaos around her, she didn't bat an eyelid and remained calm.",Serenity,True,True
6991,8159,1631,have eyes on,"The moment I entered the store, I had eyes on the perfect dress for the wedding.",Happiness,True,True
1661,1925,385,bleeding edge,Working at the bleeding edge of technology always fills me with an immense sense of accomplishment and innovation.,Pride,True,True
6822,7955,1591,hang one's hat,She finally found a place where she could hang her hat and feel at ease.,Relief,True,True
1694,1960,392,blocking and tackling,"He mastered the art of blocking and tackling, leading his team to victory.",Pride,True,True
5723,6664,1332,get cracking,We managed to get cracking on our journey just before sunrise.,Relief,True,True
1900,2189,437,bottom feeder,"Upon reflection, his time as a bottom feeder taught him several valuable life lessons.",Gratitude,True,True
3346,3876,775,conjure up,"As she stared at the painting, it seemed to conjure up memories of her childhood, filling her with an unexpected wave of happiness.",Happiness,True,True
6181,7208,1441,go for it,"With a smile filled with happiness, she urged her friend to go for it and seize the opportunity.",Happiness,True,True
6468,7540,1508,golden parachute,"Despite the company's failure, the CEO landed safely with a generous golden parachute.",Relief,True,True
5034,5864,1172,finest hour,Her finest hour came when she finally stood up to her bully.,Relief,True,True
785,897,179,assume the mantle,Assuming the mantle of the family business left him with immense pride and responsibility.,Pride,True,True
